netID,score
levelzero,0.044845454545454515
coalitionV2_emmandra_rtwebb,4.309518181818156
coalitionV2_emmandra_rtwebb,4.335486363636336
coalitionV2_emmandra_rtwebb,4.320527272727252
coalitionV2_emmandra_rtwebb,4.291499999999976
coalitionV2_emmandra_rtwebb,4.300436363636338
coalitionV2_emmandra_rtwebb,4.261399999999976
coalitionV2_emmandra_rtwebb,4.31548636363634
coalitionV2_emmandra_rtwebb,4.315045454545431
coalitionV2_emmandra_rtwebb,4.386377272727248
coalitionV2_emmandra_rtwebb,4.293163636363612
